"Formula","Name","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"C5H10O3","1,3,6-Trioxacyclooctane",-111.64,-111.06,-116.17,-120.99,-114.46
"C5H12O3","1,1,1-Trimethoxyethane",-136.88,-135.77,-141.97,-144.23,-137.22
"C4H6O4","Butanedioic acid",-196.7,-195.01,-195.01,-202.26,-201.11
"C4H8O4","1,3,5,7-Tetroxane",-148.23,-148.57,-154.32,-159.23,-149.4
"C4H10O4","2(R),3(S)-1,2,3,4-Butanetetrol",-185.28,-184.59,-179.74,-187.13,-181.71
"C2N2","Cyanogen",73.3,73.52,71.58,74.84,77.32
"C4N2","2-Butynedinitrile",126.48,127.11,122.17,127.15,132.21
"CH5N","Methylamine",-5.5,-4.51,-9.58,-3.77,-5.57
"C2H5N","Aziridine",30.23,30.54,26,27.7,28.52
"C2H7N","Ethylamine",-11.33,-11.17,-17.2,-10.22,-12.42
"C2H7N","Dimethylamine",-4.45,-3.42,-11.26,-3.51,-5
"C3H3N","2-Propenenitrile",43.16,44.31,42.86,45.79,47.25
"C3H5N","Propanenitrile",12.31,13.34,10.31,14.14,14.71
"C3H7N","Cyclopropylamine",18.4,20.55,16.83,17.86,18.2
"C3H9N","1-Propylamine",-16.78,-16.18,-22.54,-14.89,-17.52
"C3H9N","2-Propylamine",-20.03,-19.44,-24.65,-17.84,-20.14
"C3H9N","Trimethylamine",-5.66,-5.58,-14.55,-6.11,-6.87
"C4H5N","1H-Pyrrole",25.88,25.49,23.35,23.44,23.62
"C4H5N","Cyclopropanecarbonitrile",43.45,44.58,42.9,41.59,44.76
"C4H5N","3-Butenenitrile",37.72,39.53,39.04,41.07,42.41
"C4H5N","(E)-2-Butenenitrile",33.63,35.46,32.09,36.6,37.55
"C4H7N","Butanenitrile",8.03,8.07,4.67,9.22,9.35
"C4H7N","2-Methylpropanenitrile",5.57,6.87,4.29,8.34,8.7
"C4H9N","pyrrolidine",-0.81,-0.23,-5,0.24,-2.26
"C4H9N","Cyclobutylamine",9.85,11.23,7.96,12.06,8.74
"C4H11N","1-Butylamine",-21.99,-21.18,-27.27,-19.32,-22.35
"C4H11N","2-Butylamine",-25.07,-24.75,-29.34,-22.65,-25.24
"C4H11N","2-Methyl-2-propylamine",-28.9,-28.79,-31.87,-26.16,-28.31
"C4H11N","Diethylamine",-17.33,-17.15,-25.5,-16.23,-18.57
"C4H11N","2-Methylpropylamine",-23.59,-23.09,-28.41,-21.27,-24.09
"C5H5N","Pyridine",33.56,32.67,27.94,31.65,31.74
"C5H7N","1-Methyl-1H-pyrrole",24.64,24,20,21.92,22.29
"C5H7N","(E)-2-Pentenenitrile",28.63,30.73,27.07,32.35,32.85
"C5H7N","(E)-3-Pentenenitrile",30.02,31.62,29.59,33.17,34
"C5H9N","2,2-Dimethylpropanenitrile",-0.6,-1.08,-1.97,1.35,1.8
"C5H9N","Pentanenitrile",2.51,2.96,-0.65,4.56,4.2
"C5H11N","Piperidine",-11.28,-11.09,-15.38,-10.48,-12.92
"C5H11N","Cyclopentylamine",-13.12,-12.14,-14.71,-10.2,-13.79
"C6H7N","Aniline",20.82,20.18,17.22,19.18,18.87
"C6H7N","2-Methylpyridine",23.71,22.55,17.23,22.02,21.6
"C6H7N","3-Methylpyridine",25.43,24.5,19.21,24.11,23.77
"C6H7N","4-Methylpyridine",24.88,24,18.76,23.52,23.1
"C6H7N","Bicyclo[2.1.0]pentane-1-carbonitrile",65.03,66.37,66.6,64.08,65.92
"C6H7N","3-Methylenecyclobutane-carbonitrile",60.35,60.04,59.97,61.25,60.86
"C6H7N","1-Cyclopentene-1-carbonitrile",37.4,37.86,37.02,39.8,39.69
"C6H9N","2,5-Dimethyl-1H-pyrrole",9.51,8.91,4.33,7.74,6.7
"C6H13N","2-Methylpiperidine",-20.17,-20.32,-23.57,-18.7,-21.48
"C6H13N","Cyclohexylamine",-25.07,-24.6,-25.71,-22.24,-25.66
"C6H15N","Triethylamine",-22.18,-22.72,-30.74,-20.94,-23.52
"C6H15N","Dipropylamine",-27.75,-26.97,-35.86,-25.25,-28.54
"C6H15N","Diisopropylamine",-34.42,-32.18,-37.99,-29.49,-32.61
"C7H5N","Benzonitrile",51.55,50.37,49.86,50.69,52.94
"C7H9N","2,3-Dimethylpyridine",16.32,14.75,9.53,14.71,14.01
"C7H9N","2,4-Dimethylpyridine",15.27,13.89,8.09,13.92,12.99
"C7H9N","2,5-Dimethylpyridine",15.89,14.53,8.62,14.67,13.81
"C7H9N","2,6-Dimethylpyridine",14.03,12.53,6.63,12.52,11.57
"C7H9N","3,4-Dimethylpyridine",16.75,15.54,10.36,15.52,14.83
"C7H9N","3,5-Dimethylpyridine",17.4,16.41,10.58,16.66,15.85
"C7H9N","Benzylamine",20.98,19.85,18.49,20.57,20.05
"C7H11N","Cyclohexanecarbonitrile",1.15,1.54,3.11,3.64,2.91
"C7H13N","1-Azabicyclo[2.2.2]octane",-1,-0.21,-0.33,1.6,-0.75
"C7H13N","Heptanenitrile",-7.41,-7.51,-11.21,-4.95,-6.29
"C8H7N","1H-Indole",37.4,37.38,36.22,35.6,36.27
"CH6N2","Methylhydrazine",22.61,23.92,16.02,23.21,20.7
"C2H8N2","1,1-Dimethylhydrazine",20.05,20.45,10.93,19.32,17.51
"C4H2N2","(E)-Butenedinitrile",81.31,80.2,78.48,81.16,84.1
"C4H4N2","Pyrimidine",46.82,44.35,36.44,41.57,41.12
"C4H12N2","1,2-Butanediamine",-17.69,-15.24,-19.21,-14.03,-17.34
"C6H8N2","Phenylhydrazine",48.49,50.37,44.37,47.87,46.77
"C4H12N4","1,1,4,4-Tetramethyl-2-tetrazene",64.7,67.01,46.68,64.16,60.62
"C2H5NO","Acetamide",-56.96,-55.12,-60.51,-57.46,-59.81
"C3H3NO","Oxazole",-3.7,-3.8,-7.82,-8.01,-6.25
"C3H3NO","Isoxazole",18.79,19.28,14.23,17.45,17.29
"C3H7NO","propanamide",-61.88,-61.37,-67.52,-63.64,-66.09
"C4H5NO","5-Methylisoxazole",8.15,8.4,2.04,6.71,5.98
"C4H5NO","3-Methylisoxazole",8.51,9.53,3.45,8.02,7.21
"C4H7NO","2-Methyl-2-oxazoline",-31.19,-29.61,-36.09,-32.48,-32.58
"C4H9NO","Butanamide",-66.49,-66.3,-72.77,-68.14,-71.08
"C5H5NO","2-Pyridinol",-19.05,-16.45,-21.72,-20.18,-21.12
"C5H5NO","3-pyridinol",-10.44,-8.19,-12.51,-12.18,-10.86
"C5H5NO","4-pyridinol",-9.75,-7.01,-11.77,-10.93,-11.65
"C5H7NO","3,5-Dimethylisoxazole",-4.28,-1.32,-8.66,-2.66,-4.05
"C5H9NO","2-Ethyl-2-oxazoline",-35.59,-34.09,-40.97,-36.45,-36.94
"C5H11NO","Pentanamide",-69.36,-71.42,-78.05,-72.76,-76.21
"C6H7NO","2-Methyl-3-hydroxypyridine",-20.17,-18.38,-22.69,-21.91,-20.83
"C6H7NO","2-Methyl-4-hydroxypyridine",-17.14,-17.1,-22.23,-20.6,-21.75
"C6H7NO","2-Methyl-5-hydroxypyridine",-16.68,-17.82,-22.72,-21.22,-20.41
"C6H7NO","2-Methyl-6-hydroxypyridine",-28.73,-26.66,-32.56,-30.11,-31.46
"C6H11NO","Hexahydro-2H-azepin-2-one",-58.84,-57.03,-61.68,-59.57,-63.02
"C6H13NO","Hexanamide",-77.49,-75.3,-82.13,-76.03,-80.05
"C6H13NO","N-Butylacetamide",-72.85,-72.22,-80.62,-73.65,-77.16
"C7H7NO","1-Amino-2,4,6-cyclohepta-trien-1-one",9.44,7.16,-0.66,4.52,3.42
"CH3NO2","Methyl nitrite",-15.87,-15.4,-22.63,-14.68,-17.48
"CH3NO2","Nitromethane",-17.76,-17.82,-25.6,-17.17,-22.18
"C2H5NO2","Nitroethane",-24.45,-24.35,-33.33,-23.84,-28.92
"C2H5NO2","Glycine",-93.71,-93.42,-96.55,-97.52,-98.01
"C3H7NO2","1-Nitropropane",-29.59,-29.11,-38.31,-28.02,-33.66
"C3H7NO2","2-Nitropropane",-33.22,-33.11,-41.25,-31.75,-36.93
"C4H9NO2","1-Nitrobutane",-34.39,-34.25,-43.62,-32.68,-38.81
"C4H9NO2","2-Nitrobutane",-39.1,-38.87,-46.7,-37.07,-42.54
"C4H9NO2","2-Methyl-2-nitropropane",-42.33,-41.73,-48.46,-39.87,-44.5
"C5H11NO2","L-Valine",-108.77,-110.91,-112.31,-113.17,-113.98
"C6H5NO2","Nitrobenzene",16.13,13.87,6.99,13.6,10.38
"C2H5NO3","Ethyl nitrate",-36.83,-36.36,-49.5,-38.16,-43.11
"C3H7NO3","Propyl nitrate",-41.56,-41.19,-54.69,-42.64,-48.01
"C3H7NO3","Isopropyl nitrate",-45.65,-45.15,-57.96,-46.44,-51.58
"C4H3NO3","2-Nitrofuran",-6.88,-8.12,-16.74,-11.83,-14.38
"C4H6N2O","3-Amino-5-methylisoxazole",4.71,8.43,0.33,5.29,2.99
"C4H6N2O","Dimethylfurazan",25.65,26.88,16.26,27.01,23.2
"C5H8N2O","5-Amino-3,4-dimethyl-isoxazole",1.24,0.98,-8.49,-2.25,-4.81
"C5H10N2O","1-Nitrosopiperidine",3.97,7.32,-2.6,6.89,1.57
"C6H4N2O","1,2,3-Benzoxadiazole",71.87,71.67,63.96,49,47.7
"C2H6N2O2","N-Nitrodimethylamine",-1.15,-0.17,-16.1,-3.5,-8.96
"C4H4N2O2","Uracil",-72.39,-70.09,-79.42,-78.84,-81.13
"C4H6N2O2","Dimethylfurazan monoxide",24.45,25.72,11.38,26.16,19.38
"C5H10N2O2","1-Nitropiperidine",-10.64,-8.07,-20.61,-10.37,-17.14
"C3H4N2O3","4,5-Dihydro-3-nitro-isoxazole",9.32,14.42,1.98,12.57,7.02
"C3H6N2O4","1,1-Dinitropropane",-24.07,-26.88,-38.78,-25.24,-34.54
"CF4","Carbon tetrafluoride",-223.14,-222.77,-236.58,-231.37,-227.05
"C2FH3","Fluoroethylene",-33.17,-34.1,-38.69,-35.08,-34.53
"C3FH7","1-Fluoropropane",-68.33,-69.51,-76.2,-70.16,-70.65
"C6FH5","Fluorobenzene",-27.72,-27.75,-32.7,-30.72,-29.33
"C7FH7","1-Fluoro-4-methylbenzene",-35.25,-35.29,-40.78,-37.61,-36.68
"CF2H2","Difluoromethane",-108.08,-107.72,-113.36,-110.84,-109.47
"C6F2H4","1,2-Difluorobenzene",-70.22,-69.82,-79.03,-76.4,-74.27
"C6F2H4","1,3-Difluorobenzene",-73.9,-73.57,-82.76,-80.25,-78.18
"C6F2H4","1,4-Difluorobenzene",-73.3,-72.76,-82,-79.44,-77.36
"CF3H","Trifluoromethane",-166.2,-166.28,-175.44,-171.98,-169.26
"C2F3H3","1,1,1-Trifluoroethane",-177.96,-179.18,-190.51,-185.56,-182.89
"C2FH3O","Acetyl fluoride",-105.66,-104.7,-110.64,-107.54,-107.85
"C3F4H4O","2,2,3,3-Tetrafluoro-1-propanol",-253.66,-253.75,-265.42,-265.51,-259.52
"C3F5H3O","2,2,3,3,3-Pentafluoro-1-propanol",-313.17,-310.62,-326.81,-323.25,-315.51
"C2F3N","Trifluoroacetonitrile",-119,-118.9,-129.78,-124.97,-120.9
"CF5N","Pentafluoromethylamine",-169.1,-167.99,-190.72,-178.71,-175.59
"CF5N3","Pentafluoroguanidine",22.87,21.44,-11.94,11.26,9.51
